Source,Sentence
In domain dev,John can kick the ball.
In domain dev,John was found in the office.
Out of domain dev,I served leek soup to my guests.
Out of domain dev,I served my guests.
Out of domain dev,That professor is feared by all students.
Out of domain dev,Mary was respected by John.
Out of domain dev,Ted was bitten by the spider.
Out of domain dev,The book was seen by Mary.
Out of domain dev,The table was wiped clean by John.
Out of domain dev,The car was driven by John to Maine.
Out of domain dev,Jack hates Sue and is loved by Mary.
Out of domain dev,Bill ate more peaches than Harry did grapes.
Out of domain dev,Jerry attempted to blow up the Pentagon.
Out of domain dev,The book which inspired them was very long.
Out of domain dev,I know the person whose mother died.
Out of domain dev,I wonder whose mother died.
Out of domain dev,I wonder to whom they dedicated the building.
Out of domain dev,I believe there to be no way out.
Out of domain dev,I know the people that voted in the election.
Out of domain dev,I thought that you were sick.
Out of domain dev,I dislike the person with whom we were talking.
Out of domain dev,Everything you like is on the table.
Out of domain dev,Nobody likes us.
Out of domain dev,She voted for herself.
Out of domain dev,We gave ourselves presents.
Out of domain dev,We think that Leslie likes us.
Out of domain dev,Our friends like us.
Out of domain dev,Leslie used a pen.
Out of domain dev,I forgot how good beer tastes.
Out of domain dev,Visiting relatives can be boring.
Out of domain dev,Max is on the phone now.
Out of domain dev,That surprised me.
Out of domain dev,A large dog chased a small cat.
Out of domain dev,Some people yell at noisy dogs.
Out of domain dev,Some people yell at dogs.
Out of domain dev,Some people consider the noisy dogs dangerous.
Out of domain dev,Some people consider the dogs in my neighborhood dangerous.
Out of domain dev,This disease gave Leslie a fever in Rome.
Out of domain dev,The defendant denied the accusation.
Out of domain dev,The bird sings.
Out of domain dev,Kerry remarked it was late.
Out of domain dev,The child put the toy on the table.
Out of domain dev,The teacher became angry with the students.
Out of domain dev,The jury believed the defendant lied.
Out of domain dev,The guests dined.
Out of domain dev,We relied on Leslie.
Out of domain dev,We celebrated in the streets.
Out of domain dev,A magazine appeared on the newsstands.
Out of domain dev,A magazine about crime appeared on the newsstands.
Out of domain dev,The report that crime was declining surprised many people.
Out of domain dev,The book surprised many people.
Out of domain dev,The storm arrived after the picnic.
Out of domain dev,The storm arrived while we ate lunch.
Out of domain dev,These dogs barked.
Out of domain dev,A chair was broken.
Out of domain dev,The dogs barked.
Out of domain dev,I walk and Dana runs.
Out of domain dev,Kim likes dogs.
Out of domain dev,Dogs like Kim.
Out of domain dev,Susan frightens her.
Out of domain dev,Susan told her a story.
Out of domain dev,Susan devoted herself to linguistics.
Out of domain dev,That picture of Susan offended her.
Out of domain dev,Kris donated a book to the library.
Out of domain dev,The police sprayed the protesters with water.
Out of domain dev,The police sprayed water on the protesters.
Out of domain dev,The evidence assembled by the prosecution convinced the jury.
Out of domain dev,Lou forgot the umbrella.
Out of domain dev,Lou forgot the umbrella in the closet.
Out of domain dev,Lou put the umbrella in the closet.
Out of domain dev,The artist drew the child with a pencil.
Out of domain dev,The dog bit the cat.
Out of domain dev,The patient died.
Out of domain dev,He was arrested by the police.
Out of domain dev,The cat got bitten.
Out of domain dev,It is obvious that Pat is lying.
Out of domain dev,Pat is the captain of the team.
Out of domain dev,There is a seat available.
Out of domain dev,Many people were fond of Pat.
Out of domain dev,People are looking through the window.
Out of domain dev,It annoys people that dogs bark.
Out of domain dev,We forgot our invitations.
Out of domain dev,The bucket was kicked by Pat.
Out of domain dev,John loaded the wagon full with hay.
Out of domain dev,John became rich.
Out of domain dev,I gave John gold apples.
Out of domain dev,John is near Larry.
Out of domain dev,John promised Bill to leave.
Out of domain dev,John tried to leave.
Out of domain dev,there is nothing to do.
Out of domain dev,I would prefer to leave.
Out of domain dev,I would hate for John to leave.
Out of domain dev,I would prefer for John to leave.
Out of domain dev,John wants to leave.
Out of domain dev,It is a problem that he is here.
Out of domain dev,It bothers me that he is here.
Out of domain dev,I bought it to read.
Out of domain dev,I wrote to Bill.
Out of domain dev,I gave a book to Bill to read.
Out of domain dev,John considers Bill to be silly.
Out of domain dev,John arranged for himself to get the prize.
Out of domain dev,John talked to Bill about himself.
